subdivision,YEAR,JUN,JUL,AUG,SEP,JUN-SEP
ANDAMAN & NICOBAR ISLAND,1901,517.5,365.1,481.1,332.6,1696.3
ANDAMAN & NICOBAR ISLAND,1902,537.1,228.9,753.7,666.2,2185.9
ANDAMAN & NICOBAR ISLAND,1903,479.9,728.4,326.7,339,1874
ANDAMAN & NICOBAR ISLAND,1904,495.1,502,160.1,820.4,1977.6
ANDAMAN & NICOBAR ISLAND,1905,628.7,368.7,330.5,297,1624.9
ANDAMAN & NICOBAR ISLAND,1906,733.3,247.7,320.5,164.3,1465.8
ANDAMAN & NICOBAR ISLAND,1907,305.2,443.9,377.6,200.4,1327.1
ANDAMAN & NICOBAR ISLAND,1908,693.6,481.4,699.9,428.8,2303.7
ANDAMAN & NICOBAR ISLAND,1910,472.7,264.3,337.4,626.6,1701
ANDAMAN & NICOBAR ISLAND,1911,649,253,187.1,464.5,1553.6
ANDAMAN & NICOBAR ISLAND,1912,549.8,468.9,370.3,386.2,1775.2
ANDAMAN & NICOBAR ISLAND,1913,530,280.8,205.8,580.1,1596.7
ANDAMAN & NICOBAR ISLAND,1914,383.3,792.8,520.5,310.8,2007.4
ANDAMAN & NICOBAR ISLAND,1915,334.7,269,317.2,429.8,1350.7
ANDAMAN & NICOBAR ISLAND,1916,450.1,317.3,425,561.2,1753.6
ANDAMAN & NICOBAR ISLAND,1917,301.1,394.8,437.4,471.8,1605.1
ANDAMAN & NICOBAR ISLAND,1918,710.8,200.9,455.4,303.3,1670.4
ANDAMAN & NICOBAR ISLAND,1919,542.5,246.5,259.8,170.7,1219.5
ANDAMAN & NICOBAR ISLAND,1920,546.9,294.4,467.4,505.4,1814.1
ANDAMAN & NICOBAR ISLAND,1921,282.7,487.1,330,581.2,1681
ANDAMAN & NICOBAR ISLAND,1922,506.1,425.8,307.4,511.7,1751
ANDAMAN & NICOBAR ISLAND,1923,808.4,636.9,182.2,560.5,2188
ANDAMAN & NICOBAR ISLAND,1924,261.2,493.3,290.9,251.2,1296.6
ANDAMAN & NICOBAR ISLAND,1925,663.8,241.8,278.2,201.9,1385.7
ANDAMAN & NICOBAR ISLAND,1926,370,195.3,523.7,719.3,1808.3
ANDAMAN & NICOBAR ISLAND,1927,433.3,195.2,370.1,126.2,1124.8
ANDAMAN & NICOBAR ISLAND,1928,410.2,406.3,391.5,404.8,1612.8
ANDAMAN & NICOBAR ISLAND,1929,588.8,134,644.7,172.9,1540.4
ANDAMAN & NICOBAR ISLAND,1930,533.6,317.9,446.7,677.2,1975.4
ANDAMAN & NICOBAR ISLAND,1931,393.5,289.3,571,294.4,1548.2
ANDAMAN & NICOBAR ISLAND,1932,-99.9,-99.9,-99.9,-99.9,-99.9
ANDAMAN & NICOBAR ISLAND,1933,544.2,376.6,294.1,759,1973.9
ANDAMAN & NICOBAR ISLAND,1934,708.4,323.5,924.9,761.1,2717.9
ANDAMAN & NICOBAR ISLAND,1935,374.1,368.7,411.6,578.9,1733.3
ANDAMAN & NICOBAR ISLAND,1936,498.3,664.8,562.9,383.8,2109.8
ANDAMAN & NICOBAR ISLAND,1937,732.8,449.5,332,349.5,1863.8
ANDAMAN & NICOBAR ISLAND,1938,668.6,318.2,397.1,546.7,1930.6
ANDAMAN & NICOBAR ISLAND,1939,541,335.6,202.8,512.5,1591.9
ANDAMAN & NICOBAR ISLAND,1940,335.4,268.1,889.2,477.5,1970.2
ANDAMAN & NICOBAR ISLAND,1941,497,302.5,311.9,516,1627.4
ANDAMAN & NICOBAR ISLAND,1942,-99.9,-99.9,-99.9,-99.9,-99.9
ANDAMAN & NICOBAR ISLAND,1946,535.9,189,367.4,478.3,1570.6
ANDAMAN & NICOBAR ISLAND,1947,965.6,490,293.7,-99.9,-99.9
ANDAMAN & NICOBAR ISLAND,1949,658.4,743.3,404,627.5,2433.2
ANDAMAN & NICOBAR ISLAND,1950,369.9,366.7,347.3,494.5,1578.4
ANDAMAN & NICOBAR ISLAND,1951,619.9,665.3,101.3,360.9,1747.4
ANDAMAN & NICOBAR ISLAND,1952,657.7,385.5,541.3,240.3,1824.8
ANDAMAN & NICOBAR ISLAND,1953,549.9,444.4,262.8,370.1,1627.1
ANDAMAN & NICOBAR ISLAND,1954,539.4,510.8,605.4,763.8,2419.4
ANDAMAN & NICOBAR ISLAND,1955,651.1,298.4,356.9,341.8,1648.2
ANDAMAN & NICOBAR ISLAND,1956,343.1,468.4,467.7,325.1,1604.4
ANDAMAN & NICOBAR ISLAND,1957,741.9,316.2,421.3,354.3,1833.6
ANDAMAN & NICOBAR ISLAND,1958,530.7,440.7,388.4,350.6,1710.4
ANDAMAN & NICOBAR ISLAND,1959,455.7,817.1,409.2,589.6,2271.6
ANDAMAN & NICOBAR ISLAND,1960,541.4,308.4,270.7,442.4,1562.9
ANDAMAN & NICOBAR ISLAND,1961,383.3,304.9,557.1,612,1857.2
ANDAMAN & NICOBAR ISLAND,1962,367.7,409.1,420.6,474.5,1671.9
ANDAMAN & NICOBAR ISLAND,1963,434.7,303.3,601.2,614.3,1953.5
ANDAMAN & NICOBAR ISLAND,1964,465.3,287.3,472.1,521.2,1745.9
ANDAMAN & NICOBAR ISLAND,1965,408.8,392.1,396.6,576.8,1774.3
ANDAMAN & NICOBAR ISLAND,1966,148.8,433.5,335.6,454.1,1372
ANDAMAN & NICOBAR ISLAND,1967,340.8,537.8,614.2,303.5,1796.3
ANDAMAN & NICOBAR ISLAND,1968,545.1,519.3,242,496.8,1803.2
ANDAMAN & NICOBAR ISLAND,1969,422.8,345.2,281.4,489.7,1539.1
ANDAMAN & NICOBAR ISLAND,1970,407.2,564.5,342.9,423.5,1738.1
ANDAMAN & NICOBAR ISLAND,1971,394.6,421.1,327.9,470.2,1613.7
ANDAMAN & NICOBAR ISLAND,1972,470,544.6,384.9,444.4,1843.9
ANDAMAN & NICOBAR ISLAND,1973,488.6,371.4,370.3,357.5,1587.8
ANDAMAN & NICOBAR ISLAND,1974,343.8,257.1,456.2,321.6,1378.7
ANDAMAN & NICOBAR ISLAND,1975,706.3,173.5,357.4,351.8,1589
ANDAMAN & NICOBAR ISLAND,1976,441.3,382,487.7,387,1698.1
ANDAMAN & NICOBAR ISLAND,1977,339.3,341.1,345.4,467.1,1492.9
ANDAMAN & NICOBAR ISLAND,1978,462.2,656.6,346.3,310.8,1775.8
ANDAMAN & NICOBAR ISLAND,1979,282.8,455.9,173.6,330.2,1242.5
ANDAMAN & NICOBAR ISLAND,1980,604.2,575.7,494.4,271.9,1946.2
ANDAMAN & NICOBAR ISLAND,1981,600.6,344.1,510.6,452.6,1907.9
ANDAMAN & NICOBAR ISLAND,1982,448.7,410.5,347.5,369,1575.7
ANDAMAN & NICOBAR ISLAND,1983,424.3,468.8,493.8,505.5,1892.3
ANDAMAN & NICOBAR ISLAND,1984,424.9,446.4,125.8,283.6,1280.7
ANDAMAN & NICOBAR ISLAND,1985,588.4,230.9,375.2,362.5,1556.9
ANDAMAN & NICOBAR ISLAND,1986,312.2,308.5,444,408.9,1473.6
ANDAMAN & NICOBAR ISLAND,1987,343.7,45.3,666.5,378.8,1434.4
ANDAMAN & NICOBAR ISLAND,1988,357.4,495.6,354.2,603.2,1810.4
ANDAMAN & NICOBAR ISLAND,1989,414.8,380.1,413.2,215.9,1424
ANDAMAN & NICOBAR ISLAND,1990,291,213.2,293.3,310.4,1107.9
ANDAMAN & NICOBAR ISLAND,1991,165.7,547.2,494.8,394.8,1602.5
ANDAMAN & NICOBAR ISLAND,1992,392,349.4,335.3,305.8,1382.5
ANDAMAN & NICOBAR ISLAND,1993,257.1,391.7,226.7,437,1312.5
ANDAMAN & NICOBAR ISLAND,1994,383.5,566.6,459.3,744.1,2153.5
ANDAMAN & NICOBAR ISLAND,1995,450.4,501.4,555.8,426.4,1933.8
ANDAMAN & NICOBAR ISLAND,1996,559.1,335.5,327.9,541.6,1764.2
ANDAMAN & NICOBAR ISLAND,1997,182.3,670.9,492.2,456.8,1802.3
ANDAMAN & NICOBAR ISLAND,1998,504.2,385.4,212.7,437.1,1539.4
ANDAMAN & NICOBAR ISLAND,1999,295,389.3,331.6,381.4,1397.3
ANDAMAN & NICOBAR ISLAND,2000,379.5,217.3,491.5,267.8,1356.1
ANDAMAN & NICOBAR ISLAND,2001,367.7,304.4,469,312.3,1453.4
ANDAMAN & NICOBAR ISLAND,2002,358.3,317.4,429.8,420,1525.5
ANDAMAN & NICOBAR ISLAND,2003,163.3,494.9,379.4,371.9,1409.4
ANDAMAN & NICOBAR ISLAND,2004,423.9,378.9,308.7,280.7,1392.2
ANDAMAN & NICOBAR ISLAND,2005,452.4,429.3,311.1,507.5,1700.3
ANDAMAN & NICOBAR ISLAND,2006,366,182.7,219.6,546.5,1314.8
ANDAMAN & NICOBAR ISLAND,2007,378.3,463.2,465.3,486.3,1793.1
ANDAMAN & NICOBAR ISLAND,2008,457.8,511.2,482.1,332,1783
ANDAMAN & NICOBAR ISLAND,2009,632.7,313.9,382,367.2,1695.7
ANDAMAN & NICOBAR ISLAND,2010,437.5,523.1,563.8,261.3,1785.7
ANDAMAN & NICOBAR ISLAND,2011,418.5,598.5,497.2,773.4,2287.7
ANDAMAN & NICOBAR ISLAND,2012,458.1,324,369.6,868.9,2020.6
ANDAMAN & NICOBAR ISLAND,2013,777,563,341.7,472.6,2154.2
ANDAMAN & NICOBAR ISLAND,2014,416.5,473.4,321.5,413,1624.5
ANDAMAN & NICOBAR ISLAND,2015,346.4,328.9,478,514.6,1667.8
ANDAMAN & NICOBAR ISLAND,2016,429.4,301.2,227.7,604.3,1562.6
ANDAMAN & NICOBAR ISLAND,2017,349.1,389.4,414.8,372.8,1526.1
ANDAMAN & NICOBAR ISLAND,2018,518.5,239.2,415.7,395.9,1569.2
ANDAMAN & NICOBAR ISLAND,2019,662.2,212,860.4,596.8,2331.5
ANDAMAN & NICOBAR ISLAND,2020,498.3,362.9,370,481.3,1712.5
ANDAMAN & NICOBAR ISLAND,2021,315.9,535.3,506.6,667.3,2025.1
ARUNACHAL PRADESH,1916,1124.9,-99.9,629.7,333.9,-99.9
ARUNACHAL PRADESH,1917,823.8,909.1,628.4,411.5,2772.8
ARUNACHAL PRADESH,1918,1609.9,1303,692.6,515.8,4121.3
ARUNACHAL PRADESH,1919,973.6,999,286.7,628.7,2888
ARUNACHAL PRADESH,1920,840.6,535.4,896.5,376.7,2649.2
ARUNACHAL PRADESH,1921,1233.2,1433,885.9,603.4,4155.5
ARUNACHAL PRADESH,1922,1109.3,918.7,488.3,207.6,2723.9
ARUNACHAL PRADESH,1923,408.6,1278.5,251.3,617.3,2555.7
ARUNACHAL PRADESH,1924,1165,942.7,713.8,410.8,3232.3
ARUNACHAL PRADESH,1925,611.6,611,684.7,1222,3129.3
ARUNACHAL PRADESH,1926,675.2,978.7,445.6,286.9,2386.4
ARUNACHAL PRADESH,1927,1045.4,923.2,727.8,1108.9,3805.3
ARUNACHAL PRADESH,1928,1168.3,993.6,981.2,706.1,3849.2
ARUNACHAL PRADESH,1929,853,614.4,670,384.3,2521.8
ARUNACHAL PRADESH,1930,720.9,376.2,1055.5,637,2789.5
ARUNACHAL PRADESH,1931,1149.4,1399.9,337.7,480.7,3367.7
ARUNACHAL PRADESH,1932,1065.2,521.2,907.8,682.9,3177.1
ARUNACHAL PRADESH,1933,782.1,743.2,685.2,376.1,2586.5
ARUNACHAL PRADESH,1934,1024.6,935.9,640.9,382.6,2984
ARUNACHAL PRADESH,1935,1147.1,489.9,968.8,631.6,3237.5
ARUNACHAL PRADESH,1936,833.1,1132.8,668.4,584.3,3218.6
ARUNACHAL PRADESH,1937,456.4,611.6,816.9,339.7,2224.6
ARUNACHAL PRADESH,1938,1511.3,1355.1,790.8,877.3,4534.5
ARUNACHAL PRADESH,1939,1132.5,838.5,310.2,476.4,2757.6
ARUNACHAL PRADESH,1940,511,1067.9,340.5,791.4,2710.7
ARUNACHAL PRADESH,1941,518.1,935.9,729.2,687,2870.3
ARUNACHAL PRADESH,1942,1182.6,457.5,438.9,357.6,2436.6
ARUNACHAL PRADESH,1943,712.3,688.1,501,727.7,2629.2
ARUNACHAL PRADESH,1944,935.9,483.6,307.4,656.1,2383
ARUNACHAL PRADESH,1945,420.2,960,771.3,328.6,2480.1
ARUNACHAL PRADESH,1946,448.6,1212.2,478.7,540.4,2679.9
ARUNACHAL PRADESH,1947,650.2,1245,417.9,503.8,2816.9
ARUNACHAL PRADESH,1948,889.5,2362.8,603.3,350.4,4206
ARUNACHAL PRADESH,1949,943.9,1002,672.6,482,3100.5
ARUNACHAL PRADESH,1950,-99.9,377.6,241.8,285.8,-99.9
ARUNACHAL PRADESH,1951,757.8,554.7,278.5,383.7,1974.7
ARUNACHAL PRADESH,1952,276.8,320.6,481.1,368.2,1446.7
ARUNACHAL PRADESH,1953,409.9,512.5,245.3,449.8,1617.5
ARUNACHAL PRADESH,1957,608.1,1219.4,542.6,505.8,2875.9
ARUNACHAL PRADESH,1958,511.2,457.7,1664.6,705.2,3338.7
ARUNACHAL PRADESH,1959,812.9,1137.7,333.2,508.8,2792.6
ARUNACHAL PRADESH,1960,653.9,1296.8,251.3,1034.8,3236.8
ARUNACHAL PRADESH,1961,595.5,738.3,547.9,256.2,2137.9
ARUNACHAL PRADESH,1962,1088.8,758.1,1405.9,222.4,3475.2
ARUNACHAL PRADESH,1963,755.4,817.4,1199.3,366.4,3138.5
ARUNACHAL PRADESH,1964,1432.8,1506.1,492.1,465.1,3896.1
ARUNACHAL PRADESH,1965,433.1,379.5,402.9,203.3,1418.8
ARUNACHAL PRADESH,1966,496.8,448.6,439.9,205.1,1590.4
ARUNACHAL PRADESH,1967,263.1,537.3,242.7,233.5,1276.6
ARUNACHAL PRADESH,1968,531.7,410.8,229.9,244.1,1416.5
ARUNACHAL PRADESH,1969,452.5,481,395.8,279.9,1609.3
ARUNACHAL PRADESH,1970,485,461.5,289.5,339.6,1575.6
ARUNACHAL PRADESH,1971,472.5,390.4,295.4,252.2,1410.5
ARUNACHAL PRADESH,1972,317.5,455.3,210.6,354.6,1338
ARUNACHAL PRADESH,1973,628.5,325.2,295.1,272.1,1520.8
ARUNACHAL PRADESH,1974,498.6,662.2,446.8,478.7,2086.3
ARUNACHAL PRADESH,1975,268.5,427,185.2,297,1177.7
ARUNACHAL PRADESH,1976,556.6,383,375.4,180.9,1495.9
ARUNACHAL PRADESH,1977,539.2,509.3,635.6,311.1,1995.3
ARUNACHAL PRADESH,1978,574.2,359.5,170.2,303.8,1407.7
ARUNACHAL PRADESH,1979,232.9,707.1,293.7,423.9,1657.7
ARUNACHAL PRADESH,1980,551.1,518.5,593.7,380.2,2043.4
ARUNACHAL PRADESH,1981,493.9,555.4,362.4,259.2,1671
ARUNACHAL PRADESH,1982,420.1,591.3,199.1,533.1,1743.6
ARUNACHAL PRADESH,1983,539.8,564,387.4,467.3,1958.6
ARUNACHAL PRADESH,1984,414.1,675,323.3,462.3,1874.7
ARUNACHAL PRADESH,1985,510.1,669.5,326.1,496.5,2002.1
ARUNACHAL PRADESH,1986,394.3,435.6,349.2,380.8,1559.9
ARUNACHAL PRADESH,1987,470.2,732.1,540.6,625.4,2368.2
ARUNACHAL PRADESH,1988,272.9,834.8,779.7,467.8,2355.1
ARUNACHAL PRADESH,1989,479,616.8,292.6,492.1,1880.5
ARUNACHAL PRADESH,1990,810.6,514.1,347.5,597.9,2270.1
ARUNACHAL PRADESH,1991,583.2,598.5,564.6,465.7,2212
ARUNACHAL PRADESH,1992,504,543.1,278.1,308.7,1633.9
ARUNACHAL PRADESH,1993,553,585.4,665.8,310.4,2114.7
ARUNACHAL PRADESH,1994,407.5,227.5,266.1,214,1114.9
ARUNACHAL PRADESH,1995,664.3,672.5,330.3,427.9,2094.9
ARUNACHAL PRADESH,1996,317.5,579,359.4,188.1,1444.1
ARUNACHAL PRADESH,1997,527.9,394.6,239,395.9,1557.4
ARUNACHAL PRADESH,1998,810.7,795,773.7,229.4,2608.9
ARUNACHAL PRADESH,1999,439.2,406.3,428,247.4,1521
ARUNACHAL PRADESH,2000,517.2,398.7,413.5,425.8,1755.2
ARUNACHAL PRADESH,2001,293.3,316.1,286.5,295.3,1191.2
ARUNACHAL PRADESH,2002,409.5,635.2,302.1,291.9,1638.8
ARUNACHAL PRADESH,2003,450,691.1,347.4,277.2,1765.7
ARUNACHAL PRADESH,2004,422.4,752.2,274.3,311.2,1760
ARUNACHAL PRADESH,2005,300.3,468.5,447.8,249.9,1466.5
ARUNACHAL PRADESH,2006,495.4,355.7,204.4,264.7,1320.1
ARUNACHAL PRADESH,2007,513.1,731,348.6,499.4,2092.1
ARUNACHAL PRADESH,2008,503.1,496.5,496.2,222,1717.8
ARUNACHAL PRADESH,2009,313.4,357.8,394.3,165.1,1230.6
ARUNACHAL PRADESH,2010,482.1,385.4,301.7,405.9,1575.1
ARUNACHAL PRADESH,2011,269.6,563.9,266.5,274.2,1374.3
ARUNACHAL PRADESH,2012,615.8,623,331.5,623.3,2193.6
ARUNACHAL PRADESH,2013,289.6,336.1,239.7,278.3,1143.6
ARUNACHAL PRADESH,2014,406,348,552,326.3,1632.3
ARUNACHAL PRADESH,2015,570.9,300.2,537.7,342.1,1750.8
ARUNACHAL PRADESH,2016,372.8,614.2,146.1,534.8,1667.8
ARUNACHAL PRADESH,2017,366,442.2,456.6,319.2,1584
ARUNACHAL PRADESH,2018,327.9,331.9,262.1,287,1209
ARUNACHAL PRADESH,2019,300,683.5,155,355.1,1493.6
ARUNACHAL PRADESH,2020,479.8,583.8,291.6,475.1,1830.3
ARUNACHAL PRADESH,2021,346.4,255.8,458.7,137.5,1198.4
ASSAM & MEGHALAYA,1901,527.9,431.7,464.9,293.1,1717.6
ASSAM & MEGHALAYA,1902,622.1,514.7,538.3,443.1,2118.1
ASSAM & MEGHALAYA,1903,613,360.3,553.3,306.7,1833.2
ASSAM & MEGHALAYA,1904,383.5,477.6,438.8,247,1546.9
ASSAM & MEGHALAYA,1905,522.6,441.4,649.8,276.6,1890.4
ASSAM & MEGHALAYA,1906,389.5,542.8,588.1,264.6,1785.1
ASSAM & MEGHALAYA,1907,514.6,579.9,303.8,401.6,1799.9
ASSAM & MEGHALAYA,1908,392.6,479.9,339.8,405.9,1618.3
ASSAM & MEGHALAYA,1909,644.8,346.2,447.6,216.5,1655.1
ASSAM & MEGHALAYA,1910,584.2,740,419.9,247.8,1991.8
ASSAM & MEGHALAYA,1911,536.8,617.3,417.4,388.7,1960.3
ASSAM & MEGHALAYA,1912,486.6,566.2,453.9,236.7,1743.5
ASSAM & MEGHALAYA,1913,462.3,438,355,280.9,1536.1
ASSAM & MEGHALAYA,1914,404.8,397.3,471.5,291,1564.6
ASSAM & MEGHALAYA,1915,513.6,736.9,530.9,260.7,2042.1
ASSAM & MEGHALAYA,1916,367.9,478,433.8,310.1,1589.8
ASSAM & MEGHALAYA,1917,586.5,474.5,348.2,312.5,1721.6
ASSAM & MEGHALAYA,1918,660.4,808.4,607.2,373.1,2449.1
ASSAM & MEGHALAYA,1919,488.6,461.1,250,441.2,1640.9
ASSAM & MEGHALAYA,1920,524.8,311.1,526.3,385.2,1747.3
ASSAM & MEGHALAYA,1921,607.8,543.1,431.3,335.9,1918.1
ASSAM & MEGHALAYA,1922,553.9,420.6,379.9,267.2,1621.6
ASSAM & MEGHALAYA,1923,591.4,376.2,269.4,360,1597
ASSAM & MEGHALAYA,1924,475.2,613,435.3,345.6,1869.1
ASSAM & MEGHALAYA,1925,332.6,411.8,403.2,323.3,1470.8
ASSAM & MEGHALAYA,1926,558.9,576.9,355.8,190.5,1682.1
ASSAM & MEGHALAYA,1927,575.8,449.9,368.7,551.7,1946
ASSAM & MEGHALAYA,1928,423,432,450.5,344.5,1650
ASSAM & MEGHALAYA,1929,645.8,386.5,333.3,291.6,1657.1
ASSAM & MEGHALAYA,1930,690.4,287,439.6,299.9,1716.9
ASSAM & MEGHALAYA,1931,606,656.5,282.2,331.3,1876
ASSAM & MEGHALAYA,1932,629.5,457.5,469.4,355.8,1912.2
ASSAM & MEGHALAYA,1933,479.9,428.8,506.5,242.5,1657.6
ASSAM & MEGHALAYA,1934,760,556.4,365.3,246.7,1928.4
ASSAM & MEGHALAYA,1935,698.1,396.6,576.7,335.8,2007.3
ASSAM & MEGHALAYA,1936,458,562.2,356.4,285.1,1661.7
ASSAM & MEGHALAYA,1937,424.6,411.4,480.9,277.6,1594.5
ASSAM & MEGHALAYA,1938,585.9,512.3,438.2,434.5,1970.9
ASSAM & MEGHALAYA,1939,533.3,486.9,224.1,388.4,1632.6
ASSAM & MEGHALAYA,1940,502,437.7,332.3,355.5,1627.4
ASSAM & MEGHALAYA,1941,547.4,411.9,364.1,367.4,1690.8
ASSAM & MEGHALAYA,1942,617.7,333.9,328.4,464.2,1744.2
